TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Tops (Pack an extra in case one gets dirty.),4,1,,,,en,
,,,,,,,,
task,Bottoms,4,1,,,,en,
,,,,,,,,
task,Pajamas,4,1,,,,en,
,,,,,,,,
task,Jacket/Sweater,4,1,,,,en,
,,,,,,,,
task,Underwear/Bras,4,1,,,,en,
,,,,,,,,
task,Socks,4,1,,,,en,
,,,,,,,,
task,Swimsuit/Cover-up,4,1,,,,en,
,,,,,,,,
task,Workout clothes and tennis shoes,4,1,,,,en,
,,,,,,,,
task,Shoes,4,1,,,,en,
,,,,,,,,
task,Accessories,4,1,,,,en,
,,,,,,,,
task,Laundry bag,4,1,,,,en,
,,,,,,,,
task,Toothpaste/toothbrush,4,1,,,,en,
,,,,,,,,
task,Floss,4,1,,,,en,
,,,,,,,,
task,"Skincare products (Exfoliator, cleanser, toner, moisturizer, etc.)",4,1,,,,en,
,,,,,,,,
task,Shampoo/conditioner (If you don't want to use the hotel's),4,1,,,,en,
,,,,,,,,
task,Body wash,4,1,,,,en,
,,,,,,,,
task,Deodorant,4,1,,,,en,
,,,,,,,,
task,Razor,4,1,,,,en,
,,,,,,,,
task,Perfume,4,1,,,,en,
,,,,,,,,
task,Laptop/Charger,4,1,,,,en,
,,,,,,,,
task,Tablet/Charger,4,1,,,,en,
,,,,,,,,
task,Phone/Charger,4,1,,,,en,
,,,,,,,,
task,Movies,4,1,,,,en,
,,,,,,,,
task,"Hair tools (Curling iron, straightener, etc.)",4,1,,,,en,
,,,,,,,,
task,Hair brush,4,1,,,,en,
,,,,,,,,
task,"Hair products (dry shampoo, hairspray, etc.)",4,1,,,,en,
,,,,,,,,
task,Makeup,4,1,,,,en,
,,,,,,,,
task,Makeup remover,4,1,,,,en,
,,,,,,,,
task,Makeup brushes,4,1,,,,en,
,,,,,,,,
task,Tweezers,4,1,,,,en,
,,,,,,,,
task,Nail clippers,4,1,,,,en,
,,,,,,,,
task,Nail polish/Polish remover,4,1,,,,en,
,,,,,,,,
task,Book/Magazine,4,1,,,,en,
,,,,,,,,
task,Snacks,4,1,,,,en,
,,,,,,,,
task,Water,4,1,,,,en,
,,,,,,,,
task,Journal/Pen,4,1,,,,en,
,,,,,,,,
task,Wallet,4,1,,,,en,
,,,,,,,,
task,Sunglasses,4,1,,,,en,
,,,,,,,,
task,Chapstick,4,1,,,,en,
,,,,,,,,
task,Inhaler (only if you own one! 😄),4,1,,,,en,
,,,,,,,,
task,Compact,4,1,,,,en,
,,,,,,,,
task,Miniature sewing kit (In case one of your clothes rip),4,1,,,,en,
,,,,,,,,
task,Retainer/case (Only if you previously wore braces),4,1,,,,en,
,,,,,,,,
